datetime,price_act,electricity_demand,solar_generation,wind_generation,tempc,cloud8,windmps,wdir,rainmm,humid,radjcm2
2021/1/1 0:00,50,3184,0,11,0.3,1,1,310,0.04,45,0
2021/1/1 0:30,40,3184,0,11,0.3,1,1,310,0.04,45,0
2021/1/1 1:00,37.13,2978,0,13,0,1,1,308,0.04,47,0
2021/1/1 1:30,35,2978,0,13,0,1,1,308,0.04,47,0
2021/1/1 2:00,35,2834,0,13,-0.3,1,1,304,0.04,50,0
2021/1/1 2:30,35,2834,0,13,-0.3,1,1,304,0.04,50,0
2021/1/1 3:00,30,2743,0,14,-0.6,1,1,300,0,52,0
2021/1/1 3:30,28,2743,0,14,-0.6,1,1,300,0,52,0
2021/1/1 4:00,35,2697,0,14,-0.5,1,1,300,0,54,0
2021/1/1 4:30,35,2697,0,14,-0.5,1,1,300,0,54,0
2021/1/1 5:00,25.02,2729,0,14,-0.5,1,1,300,0.04,56,0
2021/1/1 5:30,28,2729,0,14,-0.5,1,1,300,0.04,56,0
2021/1/1 6:00,28,2869,0,13,-0.4,1,1,300,0.04,58,0
2021/1/1 6:30,28,2869,0,13,-0.4,1,1,300,0.04,58,0
2021/1/1 7:00,30,3090,73,13,1.1,1,1,303,0.04,52,0
2021/1/1 7:30,35.79,3090,73,13,1.1,1,1,303,0.04,52,0
2021/1/1 8:00,30,3221,359,12,2.7,1,1,307,0.04,47,32
2021/1/1 8:30,28,3221,359,12,2.7,1,1,307,0.04,47,32
2021/1/1 9:00,28,3151,663,12,4.2,1,1,310,0,42,92
2021/1/1 9:30,28,3151,663,12,4.2,1,1,310,0,42,92
2021/1/1 10:00,15,3030,895,12,6.1,1,1,284,0,36,146
2021/1/1 10:30,14.79,3030,895,12,6.1,1,1,284,0,36,146
2021/1/1 11:00,9.43,2919,975,15,7.9,1,1,264,0,31,185
2021/1/1 11:30,7.33,2919,975,15,7.9,1,1,264,0,31,185
2021/1/1 12:00,7.33,2811,924,18,9.8,1,1,250,0.04,26,202
2021/1/1 12:30,6.88,2811,924,18,9.8,1,1,250,0.04,26,202
2021/1/1 13:00,8.15,2738,799,19,9.5,1,1,222,0,26,196
2021/1/1 13:30,9.5,2738,799,19,9.5,1,1,222,0,26,196
2021/1/1 14:00,14.79,2710,571,19,9.3,1,1,138,0,25,166
2021/1/1 14:30,14.89,2710,571,19,9.3,1,1,138,0,25,166
2021/1/1 15:00,20,2783,279,20,9,1,1,110,0,25,118
2021/1/1 15:30,28,2783,279,20,9,1,1,110,0,25,118
2021/1/1 16:00,28,2979,31,20,8.2,1,1,80,0,28,61
2021/1/1 16:30,30.09,2979,31,20,8.2,1,1,80,0,28,61
2021/1/1 17:00,48.68,3304,0,19,7.3,1,1,30,0.04,31,4
2021/1/1 17:30,50,3304,0,19,7.3,1,1,30,0.04,31,4
2021/1/1 18:00,50,3399,0,19,6.5,1,1,360,0.04,34,0
2021/1/1 18:30,50,3399,0,19,6.5,1,1,360,0.04,34,0
2021/1/1 19:00,50,3413,0,17,6,1,1,350,0.04,35,0
2021/1/1 19:30,50,3413,0,17,6,1,1,350,0.04,35,0
2021/1/1 20:00,60,3401,0,15,5.5,1,1,340,0.04,37,0
2021/1/1 20:30,60,3401,0,15,5.5,1,1,340,0.04,37,0
2021/1/1 21:00,60,3344,0,14,5,1,1,330,0,38,0
2021/1/1 21:30,60,3344,0,14,5,1,1,330,0,38,0
