datetime,price_act,electricity_demand,solar_generation,wind_generation,tempc,cloud8,windmps,wdir,rainmm,humid,radjcm2
2024/6/1 0:00,12.35,2323,0,2.2,18,8,1,80,0.43,98,0
2024/6/1 0:30,12.35,2263,0,2.25,17.8,8,1,155,0.455,98.5,0
2024/6/1 1:00,12.3,2203,0,2.3,17.6,8,1,230,0.48,99,0
2024/6/1 1:30,12.3,2191,0,2.275,17.75,8,1.5,145,0.46,98.5,0
2024/6/1 2:00,12.3,2179,0,2.25,17.9,8,2,60,0.44,98,0
2024/6/1 2:30,12.21,2194,0,2.55,18.05,8,2,100,0.525,96,0
2024/6/1 3:00,12.21,2209,0,2.85,18.2,8,2,140,0.61,94,0
2024/6/1 3:30,12.21,2208,0.166666667,2.9,18,8,1.5,110,0.595,94,0
2024/6/1 4:00,12.21,2207,0.333333333,2.95,17.8,8,1,80,0.58,94,0
2024/6/1 4:30,12.02,2179,29.66666667,2.975,17.85,7.5,1,95,0.72,94,1
2024/6/1 5:00,11.57,2151,59,3,17.9,7,1,110,0.86,94,2
2024/6/1 5:30,10.43,2147,150.8333334,2.95,18.15,7,1,95,0.48,94,17.5
2024/6/1 6:00,10.19,2143,242.6666667,2.9,18.4,7,1,80,0.1,94,33
2024/6/1 6:30,9.3,2196,370.7916667,2.45,18.75,7,1.5,65,0.065,90,54.5
2024/6/1 7:00,5,2249,498.9166667,2,19.1,7,2,50,0.03,86,76
2024/6/1 7:30,10.04,2364,636.9166667,1.775,19.2,7,1.5,55,0.015,86,101.5
2024/6/1 8:00,9.67,2479,774.9166667,1.55,19.3,7,1,60,0,86,127
2024/6/1 8:30,9.32,2585,933.8749999,1.625,20.05,7,1,60,0,80.5,153
2024/6/1 9:00,8.95,2691,1092.833333,1.7,20.8,7,1,60,0,75,179
2024/6/1 9:30,8,2795,1258.125,1.775,21.35,7,1.5,55,0,70.5,189.5
2024/6/1 10:00,7.55,2899,1423.416667,1.85,21.9,7,2,50,0,66,200
2024/6/1 10:30,7.55,2983,1504.875,1.9,22.65,7,2,55,0.01,61.5,200.5
2024/6/1 11:00,7.55,3067,1586.333333,1.95,23.4,7,2,60,0.02,57,201
2024/6/1 11:30,7.55,3057.5,1557.833333,1.925,24.05,7,2.5,65,0.02,56.5,191
2024/6/1 12:00,7.55,3048,1529.333333,1.9,24.7,7,3,70,0.02,56,181
2024/6/1 12:30,7.55,3040,1460.5,2,24.9,7,3,110,0.01,56.5,197.5
2024/6/1 13:00,7.55,3032,1391.666667,2.1,25.1,7,3,150,0,57,214
2024/6/1 13:30,9.67,2992,1250.875,2.25,25.4,7,3.5,155,0,57,219
2024/6/1 14:00,7,2952,1110.083333,2.4,25.7,7,4,160,0,57,224
2024/6/1 14:30,1,2908,957.9999999,2.55,25.65,7,4,125,0.01,52.5,216.5
2024/6/1 15:00,11.57,2864,805.9166667,2.7,25.6,7,4,90,0.02,48,209
2024/6/1 15:30,11.51,2851,636.5,2.625,25.4,7,4,105,0.04,51,179
2024/6/1 16:00,11.6,2838,467.0833333,2.55,25.2,7,4,120,0.06,54,149
2024/6/1 16:30,12.08,2816.5,317.25,2.675,24.4,7,4.5,135,0.045,58.5,121
2024/6/1 17:00,12.02,2795,167.4166667,2.8,23.6,7,5,150,0.03,63,93
2024/6/1 17:30,12.21,2790.5,92.66666669,3,23.1,7,4.5,130,0.04,63,68.5
2024/6/1 18:00,12.89,2786,17.91666667,3.2,22.6,7,4,110,0.05,63,44
2024/6/1 18:30,12.94,2789,8.958333335,3.15,21.75,7,3.5,120,0.07,65.5,24.5
2024/6/1 19:00,12.97,2792,0,3.1,20.9,7,3,130,0.09,68,5
2024/6/1 19:30,12.57,2738,0,3.075,20.5,6.5,3.5,105,0.11,69.5,2.5
2024/6/1 20:00,12.22,2684,0,3.05,20.1,6,4,80,0.13,71,0
2024/6/1 20:30,12.58,2614.5,0,3.275,19.6,6,3.5,75,0.09,74,0
2024/6/1 21:00,12.35,2545,0,3.5,19.1,6,3,70,0.05,77,0
2024/6/1 21:30,12.21,2488,0,3.475,18.9,6,3,70,0.05,78,0
2024/6/1 22:00,12.11,2431,0,3.45,18.7,6,3,70,0.05,79,0
2024/6/1 22:30,12.11,2385,0,3.475,18.65,6,3,70,0.05,79.5,0
2024/6/1 23:00,12.18,2339,0,3.5,18.6,6,3,70,0.05,80,0
2024/6/1 23:30,12.05,2263.5,0,3.45,18.5,6,2.5,85,0.04,81,0
2024/6/2 0:00,11.59,2188,0,3.4,18.4,6,2,100,0.03,82,0
2024/6/2 0:30,11.53,2133.5,0,3.325,18.4,6.5,2.5,80,0.045,81,0
2024/6/2 1:00,11.41,2079,0,3.25,18.4,7,3,60,0.06,80,0
2024/6/2 1:30,11.42,2067.5,0,3.3,18.35,7,2.5,40,0.115,80,0
2024/6/2 2:00,11.49,2056,0,3.35,18.3,7,2,20,0.17,80,0
2024/6/2 2:30,11.54,2073,0,3.225,18.1,7,2.5,25,0.185,81.5,0
2024/6/2 3:00,11.54,2090,0,3.1,17.9,7,3,30,0.2,83,0
2024/6/2 3:30,11.57,2101.5,0.166666667,3.3,17.25,7,3,50,0.15,88,0
2024/6/2 4:00,11.65,2113,0.333333333,3.5,16.6,7,3,70,0.1,93,0
2024/6/2 4:30,11.62,2102,22.95833333,3.575,16.55,7,2,60,0.08,93.5,0.5
2024/6/2 5:00,11.46,2091,45.58333333,3.65,16.5,7,1,50,0.06,94,1
2024/6/2 5:30,10.39,2086.5,115.7916667,3.475,16.6,7,1,35,0.08,95,8.5
2024/6/2 6:00,8.5,2082,186,3.3,16.7,7,1,20,0.1,96,16
2024/6/2 6:30,7.71,2131.5,276.3333334,3.1,17.1,7,1,170,0.135,95,37.5
2024/6/2 7:00,1,2181,366.6666667,2.9,17.5,7,1,320,0.17,94,59
2024/6/2 7:30,1,2262.5,484.7916667,2.8,18.15,6.5,1,320,0.225,88,93
2024/6/2 8:00,1.9,2344,602.9166667,2.7,18.8,6,1,320,0.28,82,127
2024/6/2 8:30,1,2451,721.9166667,2.625,19.65,6,1,190,0.31,77.5,167.5
2024/6/2 9:00,1.01,2558,840.9166667,2.55,20.5,6,1,60,0.34,73,208
2024/6/2 9:30,10.95,2611.5,862.625,2.475,21.1,6,2,75,0.32,69.5,214.5
2024/6/2 10:00,11.08,2665,884.3333333,2.4,21.7,6,3,90,0.3,66,221
2024/6/2 10:30,10.96,2698,833.375,2.4,22.3,6.5,3.5,115,0.265,65.5,211
2024/6/2 11:00,11,2731,782.4166667,2.4,22.9,7,4,140,0.23,65,201
2024/6/2 11:30,10.89,2719,697.7916667,2.45,22.75,7,3.5,140,0.245,65,175
2024/6/2 12:00,11,2707,613.1666667,2.5,22.6,7,3,140,0.26,65,149
2024/6/2 12:30,11.08,2689.5,538,2.775,22.45,7,3.5,145,0.495,66,136
2024/6/2 13:00,11.24,2672,462.8333333,3.05,22.3,7,4,150,0.73,67,123
2024/6/2 13:30,7.71,2676.5,390.2083333,2.975,21.45,7.5,3.5,145,0.775,74.5,106.5
2024/6/2 14:00,7.71,2681,317.5833333,2.9,20.6,8,3,140,0.82,82,90
2024/6/2 14:30,10,2653,231.125,2.975,20.2,8,3,220,0.82,87.5,73
2024/6/2 15:00,10.21,2625,144.6666667,3.05,19.8,8,3,300,0.82,93,56
2024/6/2 15:30,10.18,2624.5,107.6666667,3.125,19.05,8,3.5,155,0.745,95.5,45.5
2024/6/2 16:00,10.16,2624,70.66666667,3.2,18.3,8,4,10,0.67,98,35
2024/6/2 16:30,11,2673,56.20833334,3.3,18.25,8,3.5,10,0.61,98,26.5
2024/6/2 17:00,12.14,2722,41.75,3.4,18.2,8,3,10,0.55,98,18
2024/6/2 17:30,12.39,2756,23.95833333,3.4,17.8,8,2,20,0.605,99,12.5
2024/6/2 18:00,12.5,2790,6.166666667,3.4,17.4,8,1,30,0.66,100,7
2024/6/2 18:30,12.58,2779.5,3.083333334,3.65,17.45,8,1,40,1.28,100,4
2024/6/2 19:00,13,2769,0,3.9,17.5,8,1,50,1.9,100,1
2024/6/2 19:30,12.32,2728,0,4.1,17.5,8,1,52.5,1.715,100,0.5
2024/6/2 20:00,12.27,2687,0,4.3,17.5,8,1,55,1.53,100,0
2024/6/2 20:30,12.32,2624.5,0,4.55,17.5,8,1,57.5,1.345,99.5,0
