"date","time","load_act"
"20210101","0000","3184"
"20210101","0100","2978"
"20210101","0200","2834"
"20210101","0300","2743"
"20210101","0400","2697"
"20210101","0500","2729"
"20210101","0600","2869"
"20210101","0700","3090"
"20210101","0800","3221"
"20210101","0900","3151"
"20210101","1000","3030"
"20210101","1100","2919"
"20210101","1200","2811"
"20210101","1300","2738"
"20210101","1400","2710"
"20210101","1500","2783"
"20210101","1600","2979"
"20210101","1700","3304"
"20210101","1800","3399"
"20210101","1900","3413"
"20210101","2000","3401"
"20210101","2100","3344"
"20210101","2200","3198"
"20210101","2300","3073"
"20210102","0000","2855"
"20210102","0100","2715"
"20210102","0200","2650"
"20210102","0300","2610"
"20210102","0400","2595"
"20210102","0500","2653"
"20210102","0600","2834"
"20210102","0700","3100"
"20210102","0800","3269"
"20210102","0900","3245"
"20210102","1000","3141"
"20210102","1100","3039"
"20210102","1200","2951"
"20210102","1300","2880"
"20210102","1400","2830"
"20210102","1500","2862"
"20210102","1600","3064"
"20210102","1700","3394"
"20210102","1800","3494"
"20210102","1900","3494"
"20210102","2000","3471"
"20210102","2100","3379"
"20210102","2200","3215"
"20210102","2300","3088"
"20210103","0000","2869"
"20210103","0100","2741"
"20210103","0200","2685"
"20210103","0300","2640"
"20210103","0400","2622"
"20210103","0500","2675"
"20210103","0600","2849"
"20210103","0700","3109"
"20210103","0800","3325"
"20210103","0900","3372"
"20210103","1000","3314"
"20210103","1100","3197"
"20210103","1200","3132"
"20210103","1300","3029"
"20210103","1400","2960"
"20210103","1500","3033"
"20210103","1600","3249"
"20210103","1700","3616"
"20210103","1800","3728"
"20210103","1900","3715"
"20210103","2000","3650"
"20210103","2100","3499"
"20210103","2200","3257"
"20210103","2300","3072"
"20210104","0000","2828"
"20210104","0100","2678"
"20210104","0200","2614"
"20210104","0300","2580"
"20210104","0400","2604"
"20210104","0500","2758"
"20210104","0600","3122"
"20210104","0700","3531"
"20210104","0800","3865"
"20210104","0900","3852"
"20210104","1000","3675"
"20210104","1100","3570"
"20210104","1200","3451"
"20210104","1300","3384"
"20210104","1400","3343"
"20210104","1500","3368"
"20210104","1600","3533"
"20210104","1700","3838"
"20210104","1800","3890"
"20210104","1900","3857"
"20210104","2000","3774"
"20210104","2100","3618"
"20210104","2200","3374"
"20210104","2300","3163"
"20210105","0000","2909"
"20210105","0100","2750"
"20210105","0200","2691"
"20210105","0300","2670"
"20210105","0400","2711"
"20210105","0500","2889"
"20210105","0600","3324"
"20210105","0700","3807"
"20210105","0800","4274"
"20210105","0900","4393"
"20210105","1000","4355"
"20210105","1100","4197"
"20210105","1200","4079"
"20210105","1300","4093"
"20210105","1400","4080"
"20210105","1500","4071"
"20210105","1600","4180"
"20210105","1700","4274"
"20210105","1800","4229"
"20210105","1900","4124"
"20210105","2000","3999"
"20210105","2100","3790"
"20210105","2200","3519"
"20210105","2300","3268"
"20210106","0000","2999"
"20210106","0100","2852"
"20210106","0200","2800"
"20210106","0300","2780"
"20210106","0400","2826"
"20210106","0500","3034"
"20210106","0600","3472"
"20210106","0700","3942"
"20210106","0800","4384"
"20210106","0900","4617"
"20210106","1000","4557"
"20210106","1100","4517"
"20210106","1200","4330"
"20210106","1300","4409"
"20210106","1400","4447"
"20210106","1500","4506"
"20210106","1600","4651"
"20210106","1700","4663"
"20210106","1800","4572"
"20210106","1900","4411"
"20210106","2000","4258"
"20210106","2100","4029"
"20210106","2200","3759"
"20210106","2300","3482"
"20210107","0000","3171"
"20210107","0100","3013"
"20210107","0200","2953"
"20210107","0300","2925"
"20210107","0400","2963"
"20210107","0500","3170"
"20210107","0600","3620"
"20210107","0700","4091"
"20210107","0800","4481"
"20210107","0900","4587"
"20210107","1000","4438"
"20210107","1100","4314"
"20210107","1200","4137"
"20210107","1300","4188"
"20210107","1400","4174"
"20210107","1500","4197"
"20210107","1600","4351"
"20210107","1700","4508"
"20210107","1800","4495"
"20210107","1900","4405"
"20210107","2000","4317"
"20210107","2100","4119"
"20210107","2200","3851"
"20210107","2300","3592"
"20210108","0000","3334"
"20210108","0100","3194"
"20210108","0200","3135"
"20210108","0300","3116"
"20210108","0400","3165"
"20210108","0500","3404"
"20210108","0600","3931"
"20210108","0700","4391"
"20210108","0800","4706"
"20210108","0900","4813"
"20210108","1000","4699"
"20210108","1100","4600"
"20210108","1200","4445"
"20210108","1300","4483"
"20210108","1400","4507"
"20210108","1500","4504"
"20210108","1600","4658"
"20210108","1700","4815"
"20210108","1800","4790"
"20210108","1900","4666"
"20210108","2000","4537"
"20210108","2100","4338"
"20210108","2200","4088"
"20210108","2300","3875"
"20210109","0000","3570"
"20210109","0100","3380"
"20210109","0200","3276"
"20210109","0300","3218"
"20210109","0400","3193"
"20210109","0500","3312"
"20210109","0600","3600"
"20210109","0700","3957"
"20210109","0800","4219"
"20210109","0900","4255"
"20210109","1000","4131"
"20210109","1100","4011"
"20210109","1200","3873"
"20210109","1300","3831"
"20210109","1400","3790"
"20210109","1500","3850"
"20210109","1600","4041"
"20210109","1700","4346"
"20210109","1800","4420"
"20210109","1900","4381"
"20210109","2000","4272"
"20210109","2100","4095"
"20210109","2200","3869"
"20210109","2300","3673"
"20210110","0000","3405"
"20210110","0100","3244"
"20210110","0200","3157"
"20210110","0300","3099"
"20210110","0400","3095"
"20210110","0500","3177"
"20210110","0600","3404"
"20210110","0700","3708"
"20210110","0800","3924"
"20210110","0900","3954"
"20210110","1000","3839"
"20210110","1100","3713"
"20210110","1200","3624"
"20210110","1300","3516"
"20210110","1400","3458"
"20210110","1500","3529"
"20210110","1600","3765"
"20210110","1700","4165"
"20210110","1800","4303"
"20210110","1900","4263"
"20210110","2000","4163"
"20210110","2100","3979"
"20210110","2200","3729"
"20210110","2300","3530"
"20210111","0000","3283"
"20210111","0100","3132"
"20210111","0200","3066"
"20210111","0300","3022"
"20210111","0400","3037"
"20210111","0500","3168"
"20210111","0600","3477"
"20210111","0700","3867"
"20210111","0800","4317"
"20210111","0900","4529"
"20210111","1000","4480"
"20210111","1100","4352"
"20210111","1200","4190"
"20210111","1300","4207"
"20210111","1400","4097"
"20210111","1500","4102"
"20210111","1600","4309"
"20210111","1700","4593"
"20210111","1800","4649"
"20210111","1900","4573"
"20210111","2000","4443"
"20210111","2100","4240"
"20210111","2200","3942"
"20210111","2300","3666"
"20210112","0000","3349"
"20210112","0100","3168"
"20210112","0200","3088"
"20210112","0300","3042"
"20210112","0400","3072"
"20210112","0500","3317"
"20210112","0600","3875"
"20210112","0700","4396"
"20210112","0800","4880"
"20210112","0900","5080"
"20210112","1000","5032"
"20210112","1100","5026"
"20210112","1200","4885"
