"date","time","price_act"
"20210101","0000","50"
"20210101","0030","40"
"20210101","0100","37.13"
"20210101","0130","35"
"20210101","0200","35"
"20210101","0230","35"
"20210101","0300","30"
"20210101","0330","28"
"20210101","0400","35"
"20210101","0430","35"
"20210101","0500","25.02"
"20210101","0530","28"
"20210101","0600","28"
"20210101","0630","28"
"20210101","0700","30"
"20210101","0730","35.79"
"20210101","0800","30"
"20210101","0830","28"
"20210101","0900","28"
"20210101","0930","28"
"20210101","1000","15"
"20210101","1030","14.79"
"20210101","1100","9.43"
"20210101","1130","7.33"
"20210101","1200","7.33"
"20210101","1230","6.88"
"20210101","1300","8.15"
"20210101","1330","9.5"
"20210101","1400","14.79"
"20210101","1430","14.89"
"20210101","1500","20"
"20210101","1530","28"
"20210101","1600","28"
"20210101","1630","30.09"
"20210101","1700","48.68"
"20210101","1730","50"
"20210101","1800","50"
"20210101","1830","50"
"20210101","1900","50"
"20210101","1930","50"
"20210101","2000","60"
"20210101","2030","60"
"20210101","2100","60"
"20210101","2130","60"
"20210101","2200","66.84"
"20210101","2230","50"
"20210101","2300","40"
"20210101","2330","30"
"20210102","0000","40"
"20210102","0030","37.71"
"20210102","0100","37.13"
"20210102","0130","35"
"20210102","0200","35"
"20210102","0230","35"
"20210102","0300","30"
"20210102","0330","29"
"20210102","0400","35"
"20210102","0430","35"
"20210102","0500","25.05"
"20210102","0530","29"
"20210102","0600","29"
"20210102","0630","30"
"20210102","0700","40"
"20210102","0730","40"
"20210102","0800","35"
"20210102","0830","30"
"20210102","0900","29"
"20210102","0930","29"
"20210102","1000","16"
"20210102","1030","15.79"
"20210102","1100","14.23"
"20210102","1130","14.23"
"20210102","1200","14.23"
"20210102","1230","13.13"
"20210102","1300","12"
"20210102","1330","12"
"20210102","1400","15.79"
"20210102","1430","15.89"
"20210102","1500","16.54"
"20210102","1530","29"
"20210102","1600","30"
"20210102","1630","40.02"
"20210102","1700","50"
"20210102","1730","60"
"20210102","1800","60"
"20210102","1830","60"
"20210102","1900","60"
"20210102","1930","60"
"20210102","2000","60"
"20210102","2030","60"
"20210102","2100","60"
"20210102","2130","53.87"
"20210102","2200","52.19"
"20210102","2230","50"
"20210102","2300","40"
"20210102","2330","35"
"20210103","0000","40"
"20210103","0030","40"
"20210103","0100","40"
"20210103","0130","40"
"20210103","0200","40"
"20210103","0230","40"
"20210103","0300","40"
"20210103","0330","40"
