"date","time","load_act"
"20210101","0000","0"
"20210101","0100","0"
"20210101","0200","0"
"20210101","0300","0"
"20210101","0400","0"
"20210101","0500","0"
"20210101","0600","0"
"20210101","0700","73"
"20210101","0800","359"
"20210101","0900","663"
"20210101","1000","895"
"20210101","1100","975"
"20210101","1200","924"
"20210101","1300","799"
"20210101","1400","571"
"20210101","1500","279"
"20210101","1600","31"
"20210101","1700","0"
"20210101","1800","0"
"20210101","1900","0"
"20210101","2000","0"
"20210101","2100","0"
"20210101","2200","0"
"20210101","2300","0"
"20210102","0000","0"
"20210102","0100","0"
"20210102","0200","0"
"20210102","0300","0"
"20210102","0400","0"
"20210102","0500","0"
"20210102","0600","0"
"20210102","0700","70"
"20210102","0800","358"
"20210102","0900","678"
"20210102","1000","902"
"20210102","1100","980"
"20210102","1200","932"
"20210102","1300","785"
"20210102","1400","530"
"20210102","1500","241"
"20210102","1600","27"
"20210102","1700","0"
"20210102","1800","0"
"20210102","1900","0"
"20210102","2000","0"
"20210102","2100","0"
"20210102","2200","0"
"20210102","2300","0"
"20210103","0000","0"
"20210103","0100","0"
"20210103","0200","0"
"20210103","0300","0"
"20210103","0400","0"
"20210103","0500","0"
"20210103","0600","0"
"20210103","0700","67"
"20210103","0800","350"
"20210103","0900","660"
"20210103","1000","862"
"20210103","1100","928"
"20210103","1200","928"
"20210103","1300","771"
"20210103","1400","556"
"20210103","1500","283"
"20210103","1600","33"
"20210103","1700","0"
"20210103","1800","0"
"20210103","1900","0"
"20210103","2000","0"
"20210103","2100","0"
"20210103","2200","0"
"20210103","2300","0"
"20210104","0000","0"
"20210104","0100","0"
"20210104","0200","0"
"20210104","0300","0"
"20210104","0400","0"
"20210104","0500","0"
"20210104","0600","0"
"20210104","0700","53"
"20210104","0800","313"
"20210104","0900","661"
"20210104","1000","896"
"20210104","1100","994"
"20210104","1200","986"
"20210104","1300","868"
"20210104","1400","628"
"20210104","1500","301"
"20210104","1600","36"
"20210104","1700","0"
"20210104","1800","0"
"20210104","1900","0"
"20210104","2000","0"
"20210104","2100","0"
"20210104","2200","0"
"20210104","2300","0"
"20210105","0000","0"
"20210105","0100","0"
"20210105","0200","0"
"20210105","0300","0"
"20210105","0400","0"
"20210105","0500","0"
"20210105","0600","0"
"20210105","0700","42"
"20210105","0800","194"
"20210105","0900","417"
"20210105","1000","493"
"20210105","1100","447"
"20210105","1200","589"
"20210105","1300","538"
"20210105","1400","388"
"20210105","1500","173"
"20210105","1600","18"
"20210105","1700","0"
"20210105","1800","0"
"20210105","1900","0"
"20210105","2000","0"
"20210105","2100","0"
"20210105","2200","0"
"20210105","2300","0"
"20210106","0000","0"
"20210106","0100","0"
"20210106","0200","0"
"20210106","0300","0"
"20210106","0400","0"
"20210106","0500","0"
"20210106","0600","0"
"20210106","0700","51"
"20210106","0800","265"
"20210106","0900","462"
"20210106","1000","497"
"20210106","1100","449"
"20210106","1200","241"
"20210106","1300","183"
"20210106","1400","137"
"20210106","1500","57"
"20210106","1600","3"
"20210106","1700","0"
"20210106","1800","0"
"20210106","1900","0"
"20210106","2000","0"
"20210106","2100","0"
"20210106","2200","0"
"20210106","2300","0"
"20210107","0000","0"
"20210107","0100","0"
"20210107","0200","0"
"20210107","0300","0"
"20210107","0400","0"
"20210107","0500","0"
"20210107","0600","0"
"20210107","0700","54"
"20210107","0800","296"
"20210107","0900","639"
"20210107","1000","890"
"20210107","1100","1037"
"20210107","1200","1025"
"20210107","1300","882"
"20210107","1400","633"
"20210107","1500","305"
"20210107","1600","40"
"20210107","1700","0"
"20210107","1800","0"
"20210107","1900","0"
"20210107","2000","0"
"20210107","2100","0"
"20210107","2200","0"
"20210107","2300","0"
"20210108","0000","0"
"20210108","0100","0"
"20210108","0200","0"
"20210108","0300","0"
"20210108","0400","0"
"20210108","0500","0"
"20210108","0600","0"
"20210108","0700","58"
"20210108","0800","329"
"20210108","0900","677"
"20210108","1000","908"
"20210108","1100","977"
"20210108","1200","920"
"20210108","1300","761"
"20210108","1400","529"
"20210108","1500","258"
"20210108","1600","38"
"20210108","1700","0"
"20210108","1800","0"
"20210108","1900","0"
"20210108","2000","0"
"20210108","2100","0"
"20210108","2200","0"
"20210108","2300","0"
"20210109","0000","0"
"20210109","0100","0"
"20210109","0200","0"
