"date","time","tempc","cloud8","windmps","wdir","rainmm","humid","radjcm2"
"20210101","0000","0.3","1","1","310","0.04","45","0"
"20210101","0100","0","1","1","308","0.04","47","0"
"20210101","0200","-0.3","1","1","304","0.04","50","0"
"20210101","0300","-0.6","1","1","300","0","52","0"
"20210101","0400","-0.5","1","1","300","0","54","0"
"20210101","0500","-0.5","1","1","300","0.04","56","0"
"20210101","0600","-0.4","1","1","300","0.04","58","0"
"20210101","0700","1.1","1","1","303","0.04","52","0"
"20210101","0800","2.7","1","1","307","0.04","47","32"
"20210101","0900","4.2","1","1","310","0","42","92"
"20210101","1000","6.1","1","1","284","0","36","146"
"20210101","1100","7.9","1","1","264","0","31","185"
"20210101","1200","9.8","1","1","250","0.04","26","202"
"20210101","1300","9.5","1","1","222","0","26","196"
"20210101","1400","9.3","1","1","138","0","25","166"
"20210101","1500","9","1","1","110","0","25","118"
"20210101","1600","8.2","1","1","80","0","28","61"
"20210101","1700","7.3","1","1","30","0.04","31","4"
"20210101","1800","6.5","1","1","360","0.04","34","0"
"20210101","1900","6","1","1","350","0.04","35","0"
"20210101","2000","5.5","1","1","340","0.04","37","0"
"20210101","2100","5","1","1","330","0","38","0"
"20210101","2200","4.5","1","1","333","0","40","0"
"20210101","2300","3.9","1","1","337","0.04","43","0"
"20210102","0000","3.4","1","1","340","0.04","45","0"
"20210102","0100","2.8","1","2","336","0.04","48","0"
"20210102","0200","2.2","1","2","333","0.04","50","0"
"20210102","0300","1.6","1","2","330","0","53","0"
"20210102","0400","1.3","1","2","314","0","55","0"
"20210102","0500","1","1","2","296","0.04","56","0"
"20210102","0600","0.7","1","2","280","0.04","57","0"
"20210102","0700","1.5","1","2","285","0.04","54","0"
"20210102","0800","3","1","1","307","0.04","48","33"
"20210102","0900","4.9","1","1","60","0","41","92"
"20210102","1000","6.4","1","1","80","0","40","146"
"20210102","1100","7.7","1","2","87","0","39","185"
"20210102","1200","8.6","1","2","90","0","39","203"
"20210102","1300","9.7","1","2","71","0","38","196"
"20210102","1400","9.4","1","2","49","0","41","167"
"20210102","1500","9.6","1","2","30","0","42","119"
"20210102","1600","8.8","1","2","30","0","43","62"
"20210102","1700","7.9","1","2","30","0.04","44","4"
"20210102","1800","6.9","1","3","30","0.04","46","0"
"20210102","1900","6","2","3","34","0.04","54","0"
"20210102","2000","5","4","3","37","0.04","64","0"
"20210102","2100","3.9","5","4","40","0","75","0"
"20210102","2200","3.3","4","3","29","0","71","0"
"20210102","2300","2.7","4","3","13","0.04","67","0"
"20210103","0000","2.2","3","2","350","0.04","63","0"
"20210103","0100","1.6","2","2","354","0.04","63","0"
"20210103","0200","1","2","1","360","0.04","62","0"
"20210103","0300","0.6","1","1","10","0","61","0"
"20210103","0400","0.3","1","1","10","0","60","0"
"20210103","0500","0.2","2","1","10","0.04","59","0"
