"date","time","load_act"
"20210101","0000","11"
"20210101","0100","13"
"20210101","0200","13"
"20210101","0300","14"
"20210101","0400","14"
"20210101","0500","14"
"20210101","0600","13"
"20210101","0700","13"
"20210101","0800","12"
"20210101","0900","12"
"20210101","1000","12"
"20210101","1100","15"
"20210101","1200","18"
"20210101","1300","19"
"20210101","1400","19"
"20210101","1500","20"
"20210101","1600","20"
"20210101","1700","19"
"20210101","1800","19"
"20210101","1900","17"
"20210101","2000","15"
"20210101","2100","14"
"20210101","2200","13"
"20210101","2300","13"
"20210102","0000","12"
"20210102","0100","11"
"20210102","0200","11"
"20210102","0300","10"
"20210102","0400","9"
"20210102","0500","9"
"20210102","0600","7"
"20210102","0700","7"
"20210102","0800","5"
"20210102","0900","5"
"20210102","1000","6"
"20210102","1100","7"
"20210102","1200","8"
"20210102","1300","8"
"20210102","1400","7"
"20210102","1500","7"
"20210102","1600","7"
"20210102","1700","8"
"20210102","1800","10"
"20210102","1900","11"
"20210102","2000","10"
"20210102","2100","10"
"20210102","2200","12"
"20210102","2300","13"
"20210103","0000","11"
"20210103","0100","11"
"20210103","0200","11"
"20210103","0300","11"
"20210103","0400","11"
"20210103","0500","11"
"20210103","0600","10"
"20210103","0700","9"
"20210103","0800","7"
"20210103","0900","6"
"20210103","1000","7"
"20210103","1100","7"
"20210103","1200","8"
"20210103","1300","7"
"20210103","1400","7"
"20210103","1500","7"
"20210103","1600","6"
"20210103","1700","6"
"20210103","1800","6"
"20210103","1900","6"
"20210103","2000","7"
"20210103","2100","7"
"20210103","2200","7"
"20210103","2300","8"
"20210104","0000","9"
"20210104","0100","9"
"20210104","0200","8"
"20210104","0300","8"
"20210104","0400","9"
"20210104","0500","10"
"20210104","0600","10"
"20210104","0700","7"
"20210104","0800","6"
"20210104","0900","8"
"20210104","1000","7"
"20210104","1100","8"
"20210104","1200","8"
"20210104","1300","7"
"20210104","1400","6"
"20210104","1500","6"
"20210104","1600","6"
"20210104","1700","8"
"20210104","1800","8"
"20210104","1900","8"
"20210104","2000","7"
"20210104","2100","7"
"20210104","2200","7"
"20210104","2300","8"
"20210105","0000","7"
"20210105","0100","7"
"20210105","0200","7"
"20210105","0300","8"
"20210105","0400","8"
"20210105","0500","7"
"20210105","0600","6"
"20210105","0700","5"
"20210105","0800","4"
"20210105","0900","4"
"20210105","1000","4"
"20210105","1100","4"
"20210105","1200","5"
"20210105","1300","5"
"20210105","1400","6"
"20210105","1500","6"
"20210105","1600","9"
"20210105","1700","8"
"20210105","1800","9"
"20210105","1900","6"
"20210105","2000","6"
"20210105","2100","6"
"20210105","2200","7"
"20210105","2300","7"
"20210106","0000","7"
"20210106","0100","8"
"20210106","0200","8"
"20210106","0300","9"
"20210106","0400","10"
"20210106","0500","10"
"20210106","0600","12"
"20210106","0700","14"
"20210106","0800","15"
"20210106","0900","15"
"20210106","1000","13"
"20210106","1100","12"
"20210106","1200","10"
"20210106","1300","9"
"20210106","1400","8"
"20210106","1500","7"
"20210106","1600","6"
"20210106","1700","6"
"20210106","1800","6"
"20210106","1900","6"
"20210106","2000","6"
"20210106","2100","7"
"20210106","2200","8"
"20210106","2300","8"
"20210107","0000","8"
"20210107","0100","9"
"20210107","0200","11"
"20210107","0300","13"
"20210107","0400","12"
"20210107","0500","10"
"20210107","0600","9"
"20210107","0700","10"
"20210107","0800","11"
"20210107","0900","12"
"20210107","1000","12"
"20210107","1100","13"
"20210107","1200","19"
"20210107","1300","23"
"20210107","1400","26"
"20210107","1500","31"
"20210107","1600","32"
"20210107","1700","34"
"20210107","1800","33"
"20210107","1900","33"
"20210107","2000","33"
"20210107","2100","31"
"20210107","2200","28"
"20210107","2300","25"
"20210108","0000","21"
"20210108","0100","22"
"20210108","0200","20"
"20210108","0300","19"
"20210108","0400","17"
"20210108","0500","15"
"20210108","0600","13"
"20210108","0700","12"
"20210108","0800","12"
"20210108","0900","11"
"20210108","1000","11"
"20210108","1100","12"
"20210108","1200","12"
"20210108","1300","11"
"20210108","1400","10"
"20210108","1500","10"
"20210108","1600","10"
"20210108","1700","9"
"20210108","1800","9"
"20210108","1900","9"
"20210108","2000","9"
"20210108","2100","8"
"20210108","2200","8"
"20210108","2300","8"
"20210109","0000","9"
"20210109","0100","10"
"20210109","0200","10"
"20210109","0300","11"
"20210109","0400","11"
"20210109","0500","11"
"20210109","0600","11"
"20210109","0700","10"
"20210109","0800","8"
"20210109","0900","9"
"20210109","1000","10"
"20210109","1100","11"
"20210109","1200","12"
"20210109","1300","11"
"20210109","1400","12"
"20210109","1500","11"
"20210109","1600","9"
"20210109","1700","8"
"20210109","1800","8"
"20210109","1900","8"
"20210109","2000","8"
"20210109","2100","6"
"20210109","2200","5"
"20210109","2300","6"
"20210110","0000","7"
"20210110","0100","7"
"20210110","0200","8"
"20210110","0300","10"
"20210110","0400","11"
"20210110","0500","10"
"20210110","0600","12"
"20210110","0700","12"
"20210110","0800","10"
"20210110","0900","9"
"20210110","1000","9"
"20210110","1100","12"
"20210110","1200","15"
"20210110","1300","16"
"20210110","1400","15"
"20210110","1500","16"
"20210110","1600","14"
"20210110","1700","11"
"20210110","1800","11"
"20210110","1900","10"
"20210110","2000","10"
"20210110","2100","9"
"20210110","2200","8"
"20210110","2300","9"
"20210111","0000","9"
"20210111","0100","8"
"20210111","0200","8"
"20210111","0300","8"
"20210111","0400","7"
"20210111","0500","7"
"20210111","0600","7"
"20210111","0700","7"
"20210111","0800","6"
"20210111","0900","5"
"20210111","1000","5"
"20210111","1100","8"
"20210111","1200","10"
"20210111","1300","10"
"20210111","1400","10"
"20210111","1500","10"
"20210111","1600","8"
"20210111","1700","6"
"20210111","1800","4"
"20210111","1900","3"
"20210111","2000","3"
"20210111","2100","3"
"20210111","2200","3"
"20210111","2300","3"
"20210112","0000","3"
"20210112","0100","4"
"20210112","0200","5"
"20210112","0300","4"
"20210112","0400","5"
"20210112","0500","6"
"20210112","0600","6"
"20210112","0700","5"
"20210112","0800","4"
"20210112","0900","4"
"20210112","1000","3"
"20210112","1100","2"
"20210112","1200","3"
"20210112","1300","2"
"20210112","1400","2"
"20210112","1500","2"
"20210112","1600","1"
"20210112","1700","2"
"20210112","1800","3"
"20210112","1900","4"
"20210112","2000","4"
